id,name,test_horse_flag,level,clazz,affiliation,lank,ground,distance,father,mother,sex,strategy,big_flag,growth,growth_type,color,h_color,h_mask,s_roll,power,turbo,dexterous,corner,rack,character,nature,popularity,caution_horse,speed,stamina,race_entry_type
10,アイアムザプリンス,FALSE,2,5 ,2 ,6 ,3 ,2 ,サマースコール,Daunserly,1 ,3 ,0 ,76 ,0 ,5 ,1890890854 ,-1 ,-1 ,59 ,66 ,40 ,3 ,65 ,28 ,51 ,65 ,FALSE,141 ,101 ,0 
11,アイアンルック,FALSE,1,0 ,1 ,6 ,1 ,2 ,アドマイヤボス,ルカダンス,1 ,2 ,0 ,21 ,0 ,3 ,1886460675 ,-1 ,-1 ,29 ,82 ,46 ,1 ,26 ,40 ,84 ,65 ,FALSE,135 ,98 ,0 
12,アイオーユー,FALSE,1,0 ,1 ,6 ,1 ,2 ,ヤマニンスキー,ランザリスク,2 ,1 ,0 ,112 ,0 ,5 ,1883243092 ,-1 ,-1 ,17 ,77 ,36 ,1 ,37 ,30 ,19 ,51 ,FALSE,143 ,92 ,0 
13,アイネスフウジン,FALSE,6,0 ,1 ,8 ,1 ,4 ,シーホーク,テスコパール,1 ,1 ,0 ,35 ,0 ,4 ,1881151590 ,6 ,-1 ,74 ,52 ,97 ,3 ,95 ,59 ,81 ,78 ,FALSE,149 ,149 ,0 
14,アイビートウコウ,FALSE,1,0 ,1 ,6 ,1 ,2 ,ホスピタリティ,トウコウアドロ,1 ,2 ,0 ,118 ,0 ,4 ,1880297779 ,-1 ,-1 ,39 ,87 ,44 ,2 ,53 ,38 ,22 ,39 ,FALSE,141 ,95 ,0 
15,アイポッパー,FALSE,2,0 ,1 ,7 ,1 ,5 ,サッカーボーイ,サンデーアイ,1 ,4 ,0 ,119 ,0 ,5 ,1882474683 ,-1 ,-1 ,43 ,38 ,68 ,2 ,62 ,27 ,68 ,73 ,FALSE,109 ,164 ,0 
16,アイムユアーズ,FALSE,2,0 ,1 ,7 ,1 ,2 ,ファルブラヴ,セシルブルース,2 ,2 ,0 ,60 ,0 ,5 ,1883310267 ,-1 ,-1 ,41 ,57 ,53 ,2 ,37 ,46 ,92 ,71 ,FALSE,130 ,106 ,0 
17,アイランドオオジャ,FALSE,2,5 ,2 ,6 ,2 ,2 ,トニービン,アイランドビーナス,1 ,2 ,0 ,114 ,0 ,3 ,1882343971 ,-1 ,-1 ,59 ,84 ,26 ,1 ,31 ,33 ,81 ,50 ,FALSE,133 ,117 ,0 
18,アイランドファッション,FALSE,4,3 ,20 ,7 ,3 ,2 ,ペションヴィル,Danzigs Fashion,2 ,3 ,0 ,36 ,0 ,2 ,1879048379 ,-1 ,-1 ,81 ,65 ,59 ,3 ,64 ,45 ,63 ,72 ,FALSE,168 ,110 ,0 
19,アイリッシュダンス,FALSE,1,0 ,1 ,6 ,1 ,3 ,トニービン,ビューパーダンス,2 ,4 ,0 ,73 ,0 ,3 ,1889580099 ,-1 ,-1 ,33 ,67 ,61 ,3 ,63 ,43 ,61 ,75 ,FALSE,120 ,131 ,0 
20,アイルトンシンボリ,FALSE,1,0 ,1 ,6 ,1 ,5 ,シンボリルドルフ,ブルーエスケープ,1 ,3 ,0 ,94 ,0 ,3 ,1883309841 ,-1 ,-1 ,22 ,56 ,67 ,2 ,69 ,29 ,33 ,61 ,FALSE,102 ,161 ,0 
21,アイルハヴアナザー,FALSE,8,3 ,20 ,8 ,2 ,4 ,フラワーアレイ,Arch’s Gal Edith,1 ,2 ,0 ,44 ,0 ,5 ,8 ,-1 ,-1 ,84 ,88 ,79 ,3 ,69 ,52 ,84 ,82 ,FALSE,132 ,178 ,20 
22,アイルラヴァゲイン,FALSE,3,0 ,1 ,6 ,1 ,1 ,エルコンドルパサー,トキオリアリティー,1 ,3 ,0 ,110 ,0 ,3 ,1882272945 ,-1 ,-1 ,32 ,62 ,20 ,3 ,56 ,71 ,24 ,59 ,FALSE,169 ,71 ,0 
23,アインブライド,FALSE,6,0 ,1 ,8 ,1 ,2 ,コマンダーインチーフ,セブンレットウ,2 ,3 ,0 ,11 ,0 ,3 ,1880116309 ,-1 ,-1 ,38 ,65 ,56 ,3 ,18 ,28 ,45 ,54 ,FALSE,154 ,107 ,0 
24,アヴェンチュラ,FALSE,4,0 ,1 ,8 ,1 ,3 ,ジャングルポケット,アドマイヤサンデー,2 ,2 ,0 ,28 ,0 ,3 ,1883308545 ,-1 ,-1 ,48 ,90 ,65 ,3 ,40 ,42 ,88 ,68 ,FALSE,149 ,122 ,0 
25,アエスクラップ,FALSE,4,3 ,10 ,7 ,2 ,3 ,アカテナンゴ,Aerope,1 ,4 ,0 ,57 ,0 ,4 ,0 ,-1 ,-1 ,76 ,51 ,54 ,3 ,54 ,64 ,45 ,69 ,FALSE,152 ,136 ,0 
26,アカビール,FALSE,3,3 ,20 ,7 ,3 ,4 ,リヴァーマン,Lypatia,1 ,3 ,0 ,118 ,0 ,3 ,4 ,-1 ,-1 ,72 ,48 ,65 ,3 ,63 ,71 ,74 ,65 ,FALSE,148 ,148 ,0 
27,アクアビット,FALSE,2,0 ,1 ,7 ,1 ,2 ,ゴーマーチング,ナスノジョリー,1 ,3 ,0 ,79 ,0 ,3 ,1879064934 ,-1 ,-1 ,42 ,70 ,44 ,1 ,67 ,29 ,83 ,74 ,FALSE,135 ,99 ,0 
28,アクシオン,FALSE,1,0 ,1 ,6 ,1 ,3 ,サンデーサイレンス,グレイテストヒッツ,1 ,3 ,0 ,111 ,0 ,3 ,1881225778 ,-1 ,-1 ,36 ,58 ,58 ,2 ,5 ,59 ,91 ,62 ,FALSE,124 ,122 ,0 
29,アクティブバイオ,FALSE,3,0 ,1 ,7 ,1 ,4 ,オペラハウス,ロイヤルバイオ,1 ,1 ,0 ,105 ,0 ,3 ,1883246882 ,-1 ,-1 ,31 ,85 ,88 ,2 ,44 ,65 ,77 ,73 ,FALSE,132 ,132 ,0 
30,アグネスウイング,FALSE,2,2 ,1 ,6 ,2 ,1 ,エンドスウィープ,Tuesday Edition,1 ,1 ,0 ,83 ,0 ,5 ,1886548547 ,-1 ,-1 ,74 ,89 ,30 ,1 ,42 ,60 ,56 ,48 ,FALSE,121 ,131 ,0 
31,アグネスカミカゼ,FALSE,2,0 ,1 ,7 ,1 ,4 ,サンデーサイレンス,ダイナチャイナ,1 ,4 ,0 ,70 ,0 ,3 ,1886548547 ,-1 ,-1 ,21 ,74 ,60 ,3 ,89 ,44 ,97 ,74 ,FALSE,115 ,148 ,0 
32,アグネスゴールド,FALSE,2,0 ,1 ,7 ,1 ,2 ,サンデーサイレンス,エリザベスローズ,1 ,1 ,0 ,28 ,0 ,3 ,1886548547 ,-1 ,-1 ,24 ,72 ,62 ,1 ,99 ,43 ,99 ,81 ,FALSE,124 ,132 ,0 
33,アグネスタキオン,FALSE,8,0 ,1 ,8 ,1 ,4 ,サンデーサイレンス,アグネスフローラ,1 ,2 ,0 ,45 ,0 ,5 ,1886548547 ,-1 ,-1 ,38 ,93 ,65 ,3 ,68 ,52 ,86 ,78 ,FALSE,161 ,124 ,0 
34,アグネスデジタル,FALSE,7,2 ,1 ,8 ,3 ,3 ,クラフティプロスペクター,Chancey Squaw,1 ,3 ,0 ,71 ,0 ,5 ,1886548547 ,-1 ,-1 ,88 ,69 ,92 ,3 ,82 ,64 ,93 ,88 ,FALSE,160 ,145 ,0 
35,アグネスパレード,FALSE,1,0 ,1 ,6 ,1 ,2 ,バンブーアトラス,アグネスシャレード,2 ,3 ,0 ,62 ,0 ,3 ,1886548547 ,-1 ,-1 ,29 ,65 ,42 ,1 ,52 ,54 ,85 ,69 ,FALSE,136 ,104 ,0 
36,アグネスフライト,FALSE,5,0 ,1 ,8 ,1 ,4 ,サンデーサイレンス,アグネスフローラ,1 ,3 ,0 ,34 ,0 ,5 ,1886548547 ,-1 ,-1 ,48 ,82 ,65 ,3 ,16 ,32 ,85 ,71 ,FALSE,152 ,132 ,0 
37,アグネスフローラ,FALSE,7,0 ,1 ,8 ,1 ,2 ,ロイヤルスキー,アグネスレディー,2 ,3 ,0 ,18 ,0 ,3 ,1886548547 ,-1 ,-1 ,78 ,66 ,68 ,3 ,32 ,45 ,76 ,59 ,FALSE,172 ,88 ,0 
38,アグネスラズベリ,FALSE,1,0 ,1 ,6 ,1 ,1 ,エアジハード,アグネスミネルバ,2 ,2 ,0 ,119 ,0 ,5 ,1886548547 ,-1 ,-1 ,16 ,93 ,36 ,1 ,56 ,73 ,95 ,40 ,FALSE,153 ,72 ,0 
39,アグネスワールド,FALSE,9,2 ,1 ,8 ,1 ,1 ,ダンジグ,Mysteries,1 ,2 ,0 ,65 ,0 ,4 ,1886548547 ,-1 ,-1 ,75 ,86 ,74 ,3 ,89 ,68 ,67 ,83 ,FALSE,210 ,52 ,0 
40,アサカディフィート,FALSE,1,0 ,1 ,6 ,1 ,2 ,パラダイスクリーク,スプリームクィーン,0 ,2 ,0 ,104 ,0 ,4 ,1879050529 ,-1 ,-1 ,27 ,74 ,41 ,2 ,26 ,29 ,68 ,67 ,FALSE,136 ,99 ,0 
41,アサカリジェント,FALSE,2,0 ,1 ,7 ,1 ,3 ,パークリージェント,ウインエキスプレス,1 ,3 ,0 ,30 ,0 ,3 ,1879050244 ,-1 ,-1 ,41 ,73 ,63 ,2 ,77 ,41 ,90 ,80 ,FALSE,141 ,102 ,0 
42,アサクサキングス,FALSE,2,0 ,1 ,8 ,1 ,5 ,ホワイトマズル,クルーピアスター,1 ,2 ,0 ,56 ,0 ,3 ,1881192806 ,-1 ,-1 ,32 ,35 ,35 ,1 ,38 ,60 ,58 ,65 ,FALSE,152 ,128 ,0 
43,アサクサデンエン,FALSE,7,2 ,1 ,8 ,1 ,2 ,シングスピール,ホワイトウォーターアフェア,1 ,3 ,0 ,84 ,0 ,5 ,1879095654 ,4 ,-1 ,28 ,65 ,78 ,3 ,42 ,42 ,60 ,67 ,FALSE,172 ,89 ,0 
44,アサティス,FALSE,5,3 ,10 ,8 ,1 ,4 ,トップサイダー,Secret Asset,1 ,3 ,0 ,59 ,0 ,3 ,1883390583 ,-1 ,-1 ,83 ,19 ,79 ,3 ,82 ,59 ,65 ,76 ,FALSE,150 ,165 ,0 
45,アサヒライジング,FALSE,1,0 ,1 ,6 ,1 ,2 ,ロイヤルタッチ,アサヒマーキュリー,2 ,3 ,0 ,87 ,0 ,3 ,1879061569 ,-1 ,-1 ,24 ,77 ,44 ,1 ,62 ,38 ,97 ,57 ,FALSE,139 ,105 ,0 
46,アシュダウンエクスプレス,FALSE,5,3 ,10 ,7 ,1 ,1 ,アシュカラニ,Indian Express,0 ,3 ,0 ,74 ,0 ,5 ,1879113762 ,-1 ,-1 ,47 ,38 ,35 ,3 ,56 ,67 ,71 ,65 ,FALSE,171 ,84 ,0 
47,アジュディケーター,FALSE,2,0 ,1 ,7 ,1 ,1 ,アジュディケーティング,アロープリンセス,2 ,3 ,0 ,20 ,0 ,3 ,1882273605 ,-1 ,-1 ,40 ,83 ,41 ,1 ,81 ,43 ,99 ,71 ,FALSE,150 ,78 ,0 
48,アジュディミツオー,FALSE,7,5 ,2 ,8 ,2 ,3 ,アジュディケーティング,オリミツキネン,1 ,3 ,0 ,81 ,0 ,3 ,1883325698 ,-1 ,-1 ,92 ,81 ,88 ,3 ,72 ,44 ,82 ,84 ,FALSE,123 ,178 ,0 
49,アスカクリチャン,FALSE,1,0 ,1 ,6 ,1 ,3 ,スターリングローズ,ローレルワルツ,1 ,2 ,0 ,119 ,0 ,3 ,1880305841 ,-1 ,-1 ,16 ,68 ,59 ,1 ,61 ,26 ,21 ,39 ,FALSE,127 ,125 ,0 
50,アスタラバド,FALSE,5,3 ,10 ,8 ,1 ,4 ,アレッジド,Anaza,1 ,3 ,0 ,43 ,0 ,4 ,1879048209 ,-1 ,-1 ,72 ,40 ,58 ,3 ,65 ,58 ,84 ,78 ,FALSE,158 ,144 ,0 
51,アストンマーチャン,FALSE,8,0 ,1 ,8 ,1 ,1 ,アドマイヤコジーン,ラスリングカプス,2 ,2 ,0 ,32 ,0 ,3 ,1881163584 ,-1 ,-1 ,42 ,51 ,75 ,3 ,65 ,70 ,72 ,54 ,FALSE,198 ,52 ,0 
52,アズマイースト,FALSE,2,0 ,1 ,7 ,1 ,2 ,サウスアトランティック,バックツーイースト,1 ,2 ,0 ,68 ,0 ,3 ,1879310523 ,-1 ,-1 ,38 ,86 ,49 ,2 ,63 ,71 ,73 ,60 ,FALSE,156 ,73 ,0 
53,アズマサンダース,FALSE,1,0 ,1 ,6 ,1 ,2 ,サンデーサイレンス,オースミシャイン,2 ,3 ,0 ,99 ,0 ,3 ,1879048288 ,-1 ,-1 ,24 ,80 ,44 ,1 ,33 ,76 ,87 ,49 ,FALSE,132 ,104 ,0 
54,アタゴタイショウ,FALSE,1,2 ,1 ,6 ,1 ,1 ,シルバーデピュティ,Soaring Sultana,1 ,3 ,0 ,99 ,0 ,4 ,1890713651 ,-1 ,-1 ,24 ,67 ,23 ,1 ,61 ,28 ,50 ,53 ,FALSE,152 ,72 ,0 
55,アダムスピーク,FALSE,1,0 ,1 ,6 ,1 ,3 ,ディープインパクト,シンハリーズ,1 ,3 ,0 ,12 ,0 ,4 ,1883308545 ,-1 ,-1 ,26 ,78 ,63 ,1 ,74 ,44 ,65 ,54 ,FALSE,127 ,123 ,0 
56,アップルツリー,FALSE,6,3 ,10 ,8 ,1 ,4 ,ビカラ,Pomme Rose,1 ,2 ,0 ,45 ,0 ,5 ,1881210880 ,-1 ,-1 ,56 ,45 ,74 ,3 ,88 ,54 ,68 ,86 ,FALSE,160 ,150 ,0 
57,アドマイヤオーラ,FALSE,1,0 ,1 ,7 ,1 ,3 ,アグネスタキオン,ビワハイジ,1 ,1 ,0 ,72 ,0 ,3 ,1880108295 ,-1 ,-1 ,40 ,75 ,45 ,1 ,68 ,70 ,74 ,73 ,FALSE,124 ,126 ,0 
58,アドマイヤカイザー,FALSE,1,2 ,1 ,6 ,1 ,2 ,レインボウクエスト,Alexandrie,1 ,1 ,0 ,115 ,0 ,4 ,1880108295 ,-1 ,-1 ,37 ,68 ,41 ,1 ,30 ,31 ,88 ,68 ,FALSE,134 ,102 ,0 
59,アドマイヤキッス,FALSE,3,0 ,1 ,7 ,1 ,3 ,サンデーサイレンス,キッスパシオン,2 ,2 ,0 ,78 ,0 ,5 ,1880108295 ,-1 ,-1 ,32 ,78 ,59 ,3 ,45 ,73 ,80 ,72 ,FALSE,125 ,142 ,0 
60,アドマイヤグルーヴ,FALSE,5,0 ,1 ,8 ,1 ,3 ,サンデーサイレンス,エアグルーヴ,2 ,3 ,0 ,56 ,0 ,3 ,1880108295 ,2 ,-1 ,56 ,72 ,83 ,3 ,65 ,92 ,68 ,61 ,FALSE,158 ,123 ,0 
61,アドマイヤゴールド,FALSE,1,0 ,1 ,6 ,2 ,1 ,マジックマイルズ,ツルミダイヤ,2 ,3 ,0 ,95 ,0 ,5 ,1880108295 ,-1 ,-1 ,59 ,82 ,21 ,1 ,19 ,72 ,60 ,58 ,FALSE,147 ,89 ,0 
62,アドマイヤコジーン,FALSE,8,0 ,1 ,8 ,1 ,2 ,コジーン,アドマイヤマカディ,1 ,2 ,0 ,90 ,0 ,2 ,1880108295 ,-1 ,-1 ,56 ,72 ,65 ,3 ,72 ,54 ,65 ,86 ,FALSE,187 ,85 ,0 
63,アドマイヤコスモス,FALSE,1,0 ,1 ,6 ,1 ,3 ,アドマイヤマックス,アドマイヤラピス,1 ,3 ,0 ,39 ,0 ,5 ,1880108295 ,-1 ,-1 ,34 ,54 ,52 ,1 ,60 ,40 ,79 ,68 ,FALSE,130 ,121 ,0 
64,アドマイヤコマンド,FALSE,1,0 ,1 ,7 ,1 ,4 ,アグネスタキオン,トコア,1 ,3 ,0 ,73 ,0 ,3 ,1880108295 ,-1 ,-1 ,44 ,54 ,54 ,3 ,60 ,35 ,61 ,73 ,FALSE,113 ,143 ,0 
65,アドマイヤジャパン,FALSE,1,0 ,1 ,6 ,1 ,3 ,サンデーサイレンス,ビワハイジ,1 ,2 ,0 ,38 ,0 ,5 ,1880108295 ,-1 ,-1 ,38 ,67 ,50 ,2 ,31 ,33 ,22 ,60 ,FALSE,126 ,130 ,0 
66,アドマイヤジュピタ,FALSE,2,0 ,1 ,8 ,1 ,5 ,フレンチデピュティ,ジェイズジュエリー,1 ,3 ,0 ,82 ,0 ,5 ,1880108295 ,2 ,-1 ,42 ,38 ,56 ,1 ,42 ,67 ,52 ,68 ,FALSE,123 ,152 ,0 
67,アドマイヤタッチ,FALSE,1,0 ,1 ,6 ,2 ,1 ,ティンバーカントリー,ドルスク,1 ,2 ,0 ,108 ,0 ,5 ,1880108295 ,-1 ,-1 ,74 ,90 ,36 ,0 ,29 ,31 ,77 ,54 ,FALSE,148 ,84 ,0 
68,アドマイヤドン,FALSE,6,0 ,1 ,8 ,2 ,3 ,ティンバーカントリー,ベガ,1 ,2 ,0 ,64 ,0 ,3 ,1880108295 ,2 ,-1 ,89 ,84 ,72 ,3 ,67 ,62 ,72 ,71 ,FALSE,138 ,163 ,0 
69,アドマイヤビッグ,FALSE,1,0 ,1 ,6 ,1 ,2 ,サンデーサイレンス,ジェドゥーザムール,1 ,3 ,0 ,45 ,0 ,0 ,1880108295 ,-1 ,-1 ,21 ,75 ,48 ,2 ,37 ,67 ,53 ,53 ,FALSE,138 ,94 ,0 
70,アドマイヤフジ,FALSE,2,5 ,2 ,7 ,3 ,3 ,アドマイヤベガ,アドマイヤラピス,1 ,3 ,0 ,116 ,0 ,4 ,1880108295 ,-1 ,-1 ,68 ,76 ,59 ,1 ,64 ,35 ,59 ,63 ,FALSE,120 ,137 ,0 
71,アドマイヤベガ,FALSE,7,0 ,1 ,8 ,1 ,4 ,サンデーサイレンス,ベガ,1 ,3 ,0 ,38 ,0 ,3 ,1880108295 ,-1 ,-1 ,42 ,75 ,83 ,3 ,78 ,57 ,83 ,81 ,FALSE,161 ,132 ,0 
72,アドマイヤホクト,FALSE,1,5 ,2 ,6 ,3 ,1 ,サクラバクシンオー,リドルミー,1 ,3 ,0 ,73 ,0 ,3 ,1879059719 ,-1 ,-1 ,58 ,99 ,34 ,1 ,56 ,72 ,72 ,62 ,FALSE,158 ,73 ,0 
73,アドマイヤボサツ,FALSE,1,0 ,1 ,6 ,2 ,2 ,リーチ,シャダイウェーブ,1 ,3 ,0 ,103 ,0 ,3 ,1880108295 ,-1 ,-1 ,78 ,87 ,28 ,2 ,45 ,62 ,41 ,59 ,FALSE,130 ,114 ,0 
74,アドマイヤボス,FALSE,1,0 ,1 ,7 ,1 ,3 ,サンデーサイレンス,ベガ,1 ,3 ,0 ,32 ,0 ,0 ,1880108295 ,-1 ,-1 ,38 ,51 ,45 ,2 ,52 ,63 ,71 ,73 ,FALSE,125 ,129 ,0 
75,アドマイヤマックス,FALSE,8,0 ,1 ,8 ,1 ,1 ,サンデーサイレンス,ダイナシュート,1 ,3 ,0 ,87 ,0 ,3 ,1880108295 ,-1 ,-1 ,38 ,68 ,54 ,3 ,72 ,73 ,60 ,66 ,FALSE,176 ,74 ,0 
76,アドマイヤマンボ,FALSE,2,2 ,1 ,7 ,2 ,2 ,キングマンボ,Fortunate Facts,1 ,3 ,0 ,71 ,0 ,4 ,1880108295 ,-1 ,-1 ,78 ,77 ,27 ,2 ,58 ,27 ,50 ,65 ,FALSE,132 ,120 ,0 
77,アドマイヤムーン,FALSE,7,0 ,1 ,8 ,1 ,4 ,エンドスウィープ,マイケイティーズ,1 ,3 ,0 ,64 ,0 ,3 ,1880098884 ,-1 ,-1 ,45 ,90 ,82 ,3 ,81 ,38 ,72 ,80 ,FALSE,164 ,130 ,0 
78,アドマイヤメイン,FALSE,1,0 ,1 ,6 ,1 ,3 ,サンデーサイレンス,プロモーション,1 ,3 ,0 ,97 ,0 ,5 ,1880108295 ,-1 ,-1 ,22 ,74 ,44 ,3 ,35 ,51 ,41 ,69 ,FALSE,123 ,122 ,0 
79,アドマイヤモナーク,FALSE,2,0 ,1 ,7 ,1 ,5 ,ドリームウェル,スプリットザナイト,1 ,3 ,0 ,119 ,0 ,3 ,1880108295 ,-1 ,-1 ,35 ,41 ,52 ,1 ,44 ,69 ,72 ,72 ,FALSE,112 ,169 ,0 
80,アドマイヤラクティ,FALSE,7,0 ,1 ,8 ,1 ,5 ,ハーツクライ,アドマイヤテレサ,1 ,3 ,0 ,89 ,0 ,3 ,1880108295 ,-1 ,-1 ,77 ,40 ,81 ,1 ,99 ,40 ,95 ,82 ,FALSE,138 ,164 ,0 
81,アトムピット,FALSE,1,0 ,1 ,6 ,1 ,1 ,ノーザンディクテイター,アトムプリンセス,2 ,1 ,0 ,84 ,0 ,0 ,1883457399 ,-1 ,-1 ,26 ,96 ,24 ,2 ,36 ,83 ,55 ,44 ,FALSE,155 ,71 ,0 
82,アドラーブル,FALSE,3,0 ,1 ,8 ,1 ,4 ,ノーザンテースト,エコルシユ,2 ,2 ,0 ,30 ,0 ,5 ,1882326886 ,-1 ,-1 ,32 ,38 ,77 ,3 ,65 ,31 ,54 ,68 ,FALSE,142 ,119 ,0 
83,アナマリー,FALSE,4,3 ,10 ,7 ,1 ,4 ,アナバー,Marie de Ken,2 ,3 ,0 ,54 ,0 ,3 ,0 ,-1 ,0 ,65 ,40 ,74 ,3 ,71 ,64 ,75 ,68 ,FALSE,145 ,165 ,0 
84,アニマルキングダム,FALSE,10,3 ,20 ,8 ,1 ,3 ,ルロワデザニモー,Dynamis,1 ,2 ,0 ,91 ,0 ,5 ,1890600977 ,6 ,-1 ,88 ,59 ,83 ,3 ,84 ,54 ,92 ,93 ,FALSE,177 ,172 ,20 
85,アニメイトバイオ,FALSE,2,0 ,1 ,7 ,1 ,2 ,ゼンノロブロイ,レーゲンボーゲン,2 ,2 ,0 ,114 ,0 ,5 ,1883246882 ,-1 ,-1 ,40 ,77 ,46 ,2 ,60 ,69 ,92 ,63 ,FALSE,131 ,105 ,0 
86,アヌスミラビリス,FALSE,2,3 ,10 ,7 ,1 ,2 ,ウォーニング,Anna Petrovna,1 ,3 ,0 ,100 ,0 ,3 ,1879048226 ,-1 ,-1 ,89 ,32 ,40 ,3 ,52 ,27 ,89 ,61 ,FALSE,152 ,114 ,10 
87,アパパネ,FALSE,5,0 ,1 ,8 ,1 ,3 ,キングカメハメハ,ソルティビッド,2 ,3 ,0 ,28 ,0 ,3 ,1890598187 ,-1 ,-1 ,25 ,75 ,83 ,3 ,84 ,68 ,69 ,78 ,FALSE,148 ,128 ,0 
88,アファームド,FALSE,10,3 ,20 ,8 ,2 ,4 ,イクスクルシヴネイティヴ,Won’t Tell You,1 ,2 ,0 ,56 ,0 ,5 ,1879183542 ,-1 ,-1 ,94 ,56 ,93 ,3 ,92 ,62 ,88 ,94 ,TRUE,190 ,168 ,20 
89,アブクマポーロ,FALSE,8,5 ,2 ,8 ,2 ,4 ,クリスタルグリッターズ,バンシユーウエー,1 ,3 ,0 ,112 ,0 ,3 ,1879054102 ,4 ,-1 ,98 ,97 ,99 ,3 ,93 ,51 ,88 ,54 ,FALSE,132 ,194 ,0 
90,アブクマレディー,FALSE,1,0 ,1 ,6 ,2 ,1 ,ホスピタリティ,アキノレディー,2 ,4 ,0 ,104 ,0 ,3 ,1882337962 ,-1 ,-1 ,66 ,93 ,42 ,1 ,45 ,32 ,71 ,68 ,FALSE,142 ,90 ,0 
91,アブソリュート,FALSE,2,0 ,1 ,7 ,1 ,2 ,タニノギムレット,プライムステージ,0 ,3 ,0 ,118 ,0 ,4 ,1890825164 ,-1 ,-1 ,29 ,87 ,38 ,2 ,48 ,39 ,99 ,67 ,FALSE,137 ,113 ,0 
92,アブリーズ,FALSE,4,3 ,20 ,7 ,2 ,3 ,ダンジグ,Priceless Pearl,0 ,1 ,0 ,92 ,0 ,3 ,0 ,-1 ,-1 ,53 ,71 ,45 ,3 ,56 ,73 ,56 ,58 ,FALSE,139 ,142 ,0 
93,アフリートアレックス,FALSE,7,3 ,20 ,8 ,2 ,4 ,ノーザンアフリート,Maggy Hawk,1 ,2 ,0 ,74 ,0 ,3 ,1879048193 ,-1 ,-1 ,93 ,76 ,74 ,3 ,54 ,64 ,90 ,81 ,FALSE,124 ,184 ,20 
94,アプリコットフィズ,FALSE,1,0 ,1 ,6 ,1 ,2 ,ジャングルポケット,マンハッタンフィズ,2 ,3 ,0 ,92 ,0 ,4 ,1881257011 ,-1 ,-1 ,19 ,74 ,39 ,1 ,59 ,36 ,69 ,65 ,FALSE,140 ,98 ,0 
